#Index #RatioCaptured #FreqIns #FreqCap #driftIns #driftCap #snrIns #snrCap #widthIns #DistanceNoiseCenter #DriftNoise #SNRNoise
0 0.0 1926.2681035324931 0.0 0 0.0 40 0.0 0.0 -1926.2681035324931 0 20.0
1 0.0 1925.9820012375712 0.0 0 0.0 40 0.0 0.09760858955588092 -1925.9820012375712 0 20.0
2 0.0 1925.6958989426494 0.0 0 0.0 40 0.0 0.19521717911176184 -1925.6958989426494 0 20.0
3 0.0 1925.4097966477275 0.0 0 0.0 40 0.0 0.29282576866764276 -1925.4097966477275 0 20.0
4 0.0 1925.1236943528056 0.0 0 0.0 40 0.0 0.3904343582235237 -1925.1236943528056 0 20.0
5 0.0 1924.8375920578837 0.0 0 0.0 40 0.0 0.4880429477794046 -1924.8375920578837 0 20.0
6 0.0 1924.5514897629619 0.0 0 0.0 40 0.0 0.5856515373352855 -1924.5514897629619 0 20.0
7 0.0 1924.26538746804 0.0 0 0.0 40 0.0 0.6832601268911664 -1924.26538746804 0 20.0
8 0.0 1923.9792851731181 0.0 0 0.0 40 0.0 0.7808687164470474 -1923.9792851731181 0 20.0
9 0.0 1923.6931828781962 0.0 0 0.0 40 0.0 0.8784773060029283 -1923.6931828781962 0 20.0
10 0.0 1923.4070805832744 0.0 0 0.0 40 0.0 0.9760858955588092 -1923.4070805832744 0 20.0
11 0.0 1923.1209782883525 0.0 0 0.0 40 0.0 1.0736944851146901 -1923.1209782883525 0 20.0
12 0.0 1922.8348759934306 0.0 0 0.0 40 0.0 1.171303074670571 -1922.8348759934306 0 20.0
13 0.0 1922.5487736985087 0.0 0 0.0 40 0.0 1.268911664226452 -1922.5487736985087 0 20.0
14 0.0 1922.2626714035869 0.0 0 0.0 40 0.0 1.3665202537823329 -1922.2626714035869 0 20.0
15 1.0 1921.976569108665 -0.0 0 1921.976569 40 44.280096 1.4641288433382138 -1921.976569108665 0 20.0
16 0.0 1921.6904668137431 0.0 0 0.0 40 0.0 1.5617374328940947 -1921.6904668137431 0 20.0
17 0.0 1921.4043645188212 0.0 0 0.0 40 0.0 1.6593460224499756 -1921.4043645188212 0 20.0
18 0.0 1921.1182622238994 0.0 0 0.0 40 0.0 1.7569546120058566 -1921.1182622238994 0 20.0
19 1.0 1920.8321599289775 -0.0 0 1920.83216 40 46.943893 1.8545632015617375 -1920.8321599289775 0 20.0
20 1.0 1920.5460576340556 -0.0 0 1920.546058 40 49.832198 1.9521717911176184 -1920.5460576340556 0 20.0
21 1.0 1920.2599553391337 -0.0 0 1920.259955 40 49.676185 2.049780380673499 -1920.2599553391337 0 20.0
22 1.0 1919.9738530442119 -0.0 0 1919.973853 40 50.078056 2.1473889702293802 -1919.9738530442119 0 20.0
23 1.0 1919.68775074929 -0.0 0 1919.687751 40 49.06062 2.2449975597852614 -1919.68775074929 0 20.0
24 1.0 1919.4016484543681 -0.0 0 1919.401648 40 47.944219 2.342606149341142 -1919.4016484543681 0 20.0
25 1.0 1919.1155461594462 -0.0 0 1919.115546 40 51.704066 2.440214738897023 -1919.1155461594462 0 20.0
26 1.0 1918.8294438645244 -0.0 0 1918.829444 40 49.724447 2.537823328452904 -1918.8294438645244 0 20.0
27 1.0 1918.5433415696025 -0.0 0 1918.543342 40 48.631131 2.635431918008785 -1918.5433415696025 0 20.0
28 1.0 1918.2572392746806 -0.0 0 1918.257239 40 52.353595 2.7330405075646658 -1918.2572392746806 0 20.0
29 1.0 1917.9711369797587 -0.0 0 1917.971137 40 51.689342 2.8306490971205465 -1917.9711369797587 0 20.0
30 1.0 1917.6850346848369 -0.0 0 1917.685035 40 50.110832 2.9282576866764276 -1917.6850346848369 0 20.0
31 1.0 1917.398932389915 -0.0 0 1917.398932 40 47.832253 3.0258662762323087 -1917.398932389915 0 20.0
32 1.0 1917.1128300949931 -0.0 0 1917.11283 40 49.165246 3.1234748657881894 -1917.1128300949931 0 20.0
33 1.0 1916.8267278000712 -0.0 0 1916.826728 40 53.192449 3.22108345534407 -1916.8267278000712 0 20.0
34 1.0 1916.5406255051494 -0.0 0 1916.540626 40 50.026325 3.3186920448999513 -1916.5406255051494 0 20.0
35 1.0 1916.2545232102275 -0.0 0 1916.254523 40 46.400407 3.4163006344558324 -1916.2545232102275 0 20.0
36 1.0 1915.9684209153056 -0.0 0 1915.968421 40 49.825209 3.513909224011713 -1915.9684209153056 0 20.0
37 1.0 1915.6823186203837 -0.0 0 1915.682319 40 51.21333 3.611517813567594 -1915.6823186203837 0 20.0
38 1.0 1915.3962163254619 -0.0 0 1915.396216 40 51.199532 3.709126403123475 -1915.3962163254619 0 20.0
39 1.0 1915.11011403054 -0.0 0 1915.110114 40 49.243092 3.806734992679356 -1915.11011403054 0 20.0
40 1.0 1914.8240117356181 -0.0 0 1914.824012 40 45.892766 3.904343582235237 -1914.8240117356181 0 20.0
41 1.0 1914.5379094406962 -0.0 0 1914.537909 40 49.625304 4.0019521717911175 -1914.5379094406962 0 20.0
42 1.0 1914.2518071457744 -0.0 0 1914.251807 40 50.08348 4.099560761346998 -1914.2518071457744 0 20.0
43 1.0 1913.9657048508525 -0.0 0 1913.965705 40 48.77276 4.19716935090288 -1913.9657048508525 0 20.0
44 1.0 1913.6796025559306 -0.0 0 1913.679603 40 49.127879 4.2947779404587605 -1913.6796025559306 0 20.0
45 1.0 1913.3935002610087 -0.0 0 1913.3935 40 50.467698 4.392386530014641 -1913.3935002610087 0 20.0
46 1.0 1913.1073979660869 -0.0 0 1913.107398 40 47.727989 4.489995119570523 -1913.1073979660869 0 20.0
47 1.0 1912.821295671165 -0.0 0 1912.821296 40 49.151017 4.5876037091264035 -1912.821295671165 0 20.0
48 1.0 1912.5351933762431 -0.0 0 1912.535193 40 49.09136 4.685212298682284 -1912.5351933762431 0 20.0
49 1.0 1912.2490910813212 -0.0 0 1912.249091 40 50.190323 4.782820888238165 -1912.2490910813212 0 20.0
50 1.0 1911.9629887863994 -0.0 0 1911.962989 40 51.495416 4.880429477794046 -1911.9629887863994 0 20.0
51 1.0 1911.6768864914775 -0.0 0 1911.676886 40 53.35311 4.978038067349927 -1911.6768864914775 0 20.0
52 1.0 1911.3907841965556 -0.0 0 1911.390784 40 53.510396 5.075646656905808 -1911.3907841965556 0 20.0
53 1.0 1911.1046819016337 -0.0 0 1911.104682 40 53.341626 5.1732552464616886 -1911.1046819016337 0 20.0
54 1.0 1910.8185796067119 -0.0 0 1910.81858 40 57.575721 5.27086383601757 -1910.8185796067119 0 20.0
55 1.0 1910.53247731179 -0.0 0 1910.532477 40 51.637771 5.368472425573451 -1910.53247731179 0 20.0
56 1.0 1910.2463750168681 -0.0 0 1910.246375 40 53.712233 5.4660810151293315 -1910.2463750168681 0 20.0
57 1.0 1909.9602727219462 -0.0 0 1909.960273 40 52.777609 5.563689604685212 -1909.9602727219462 0 20.0
58 1.0 1909.6741704270244 -0.0 0 1909.67417 40 50.286955 5.661298194241093 -1909.6741704270244 0 20.0
59 1.0 1909.3880681321025 -0.0 0 1909.388068 40 51.486983 5.7589067837969745 -1909.3880681321025 0 20.0
60 1.0 1909.1019658371806 -0.0 0 1909.101966 40 50.33732 5.856515373352855 -1909.1019658371806 0 20.0
61 1.0 1908.8158635422587 -0.0 0 1908.815864 40 51.939495 5.954123962908736 -1908.8158635422587 0 20.0
62 1.0 1908.5297612473369 -0.0 0 1908.529761 40 48.079675 6.0517325524646175 -1908.5297612473369 0 20.0
63 1.0 1908.243658952415 -0.0 0 1908.243659 40 47.143231 6.149341142020498 -1908.243658952415 0 20.0
64 1.0 1907.9575566574931 -0.0 0 1907.957557 40 49.094235 6.246949731576379 -1907.9575566574931 0 20.0
65 1.0 1907.6714543625712 -0.0 0 1907.671454 40 49.938011 6.34455832113226 -1907.6714543625712 0 20.0
66 1.0 1907.3853520676494 -0.0 0 1907.385352 40 50.802642 6.44216691068814 -1907.3853520676494 0 20.0
67 1.0 1907.0992497727275 -0.0 0 1907.09925 40 47.616655 6.539775500244022 -1907.0992497727275 0 20.0
68 1.0 1906.8131474778056 -0.0 0 1906.813147 40 51.927454 6.637384089799903 -1906.8131474778056 0 20.0
69 1.0 1906.5270451828837 -0.0 0 1906.527045 40 50.056488 6.734992679355783 -1906.5270451828837 0 20.0
70 1.0 1906.2409428879619 -0.0 0 1906.240943 40 52.208944 6.832601268911665 -1906.2409428879619 0 20.0
71 1.0 1905.95484059304 -0.0 0 1905.954841 40 49.003663 6.930209858467546 -1905.95484059304 0 20.0
72 1.0 1905.6687382981181 -0.0 0 1905.668738 40 52.532846 7.027818448023426 -1905.6687382981181 0 20.0
73 1.0 1905.3826360031962 -0.0 0 1905.382636 40 52.630192 7.125427037579307 -1905.3826360031962 0 20.0
74 1.0 1905.0965337082744 -0.0 0 1905.096534 40 48.99727 7.223035627135188 -1905.0965337082744 0 20.0
75 1.0 1904.8104314133525 -0.0 0 1904.810431 40 50.71093 7.320644216691069 -1904.8104314133525 0 20.0
76 1.0 1904.5243291184306 -0.0 0 1904.524329 40 49.372097 7.41825280624695 -1904.5243291184306 0 20.0
77 1.0 1904.2382268235087 -0.0 0 1904.238227 40 48.771484 7.515861395802831 -1904.2382268235087 0 20.0
78 1.0 1903.9521245285869 -0.0 0 1903.952125 40 49.447685 7.613469985358712 -1903.9521245285869 0 20.0
79 1.0 1903.666022233665 -0.0 0 1903.666022 40 51.766886 7.711078574914593 -1903.666022233665 0 20.0
80 1.0 1903.3799199387431 -0.0 0 1903.37992 40 48.07057 7.808687164470474 -1903.3799199387431 0 20.0
81 1.0 1903.0938176438212 -0.0 0 1903.093818 40 50.97788 7.906295754026354 -1903.0938176438212 0 20.0
82 1.0 1902.8077153488994 -0.0 0 1902.807715 40 45.613662 8.003904343582235 -1902.8077153488994 0 20.0
83 1.0 1902.5216130539775 -0.0 0 1902.521613 40 49.255536 8.101512933138116 -1902.5216130539775 0 20.0
84 1.0 1902.2355107590556 -0.0 0 1902.235511 40 52.636256 8.199121522693996 -1902.2355107590556 0 20.0
85 1.0 1901.9494084641337 -0.0 0 1901.949408 40 48.139241 8.296730112249879 -1901.9494084641337 0 20.0
86 1.0 1901.6633061692119 -0.0 0 1901.663306 40 48.098971 8.39433870180576 -1901.6633061692119 0 20.0
87 1.0 1901.37720387429 -0.0 0 1901.377204 40 52.240408 8.49194729136164 -1901.37720387429 0 20.0
88 1.0 1901.0911015793681 -0.0 0 1901.091102 40 50.448234 8.589555880917521 -1901.0911015793681 0 20.0
89 1.0 1900.8049992844462 -0.0 0 1900.804999 40 52.969736 8.687164470473402 -1900.8049992844462 0 20.0
90 1.0 1900.5188969895244 -0.0 0 1900.518897 40 47.998072 8.784773060029282 -1900.5188969895244 0 20.0
91 1.0 1900.2327946946025 -0.0 0 1900.232795 40 49.854759 8.882381649585163 -1900.2327946946025 0 20.0
92 1.0 1899.9466923996806 -0.0 0 1899.946692 40 49.721388 8.979990239141046 -1899.9466923996806 0 20.0
93 1.0 1899.6605901047587 -0.0 0 1899.66059 40 50.163924 9.077598828696926 -1899.6605901047587 0 20.0
94 1.0 1899.3744878098369 -0.0 0 1899.374488 40 48.398018 9.175207418252807 -1899.3744878098369 0 20.0
95 1.0 1899.088385514915 -0.0 0 1899.088386 40 47.586885 9.272816007808688 -1899.088385514915 0 20.0
96 1.0 1898.8022832199931 -0.0 0 1898.802283 40 46.950739 9.370424597364568 -1898.8022832199931 0 20.0
97 1.0 1898.5161809250712 -0.0 0 1898.516181 40 49.748302 9.468033186920449 -1898.5161809250712 0 20.0
98 1.0 1898.2300786301494 -0.0 0 1898.230079 40 50.670417 9.56564177647633 -1898.2300786301494 0 20.0
99 1.0 1897.9439763352275 -0.0 0 1897.943976 40 47.440274 9.66325036603221 -1897.9439763352275 0 20.0
100 1.0 1897.6578740403056 -0.0 0 1897.657874 40 51.596658 9.760858955588091 -1897.6578740403056 0 20.0
101 1.0 1897.3717717453837 -0.0 0 1897.371772 40 46.038828 9.858467545143974 -1897.3717717453837 0 20.0
102 1.0 1897.0856694504619 -0.0 0 1897.085669 40 50.062901 9.956076134699854 -1897.0856694504619 0 20.0
103 1.0 1896.79956715554 -0.0 0 1896.799567 40 48.168284 10.053684724255735 -1896.79956715554 0 20.0
104 1.0 1896.5134648606181 -0.0 0 1896.513465 40 50.393387 10.151293313811616 -1896.5134648606181 0 20.0
105 1.0 1896.2273625656962 -0.0 0 1896.227363 40 51.420581 10.248901903367496 -1896.2273625656962 0 20.0
106 1.0 1895.9412602707744 -0.0 0 1895.94126 40 49.199783 10.346510492923377 -1895.9412602707744 0 20.0
107 1.0 1895.6551579758525 -0.0 0 1895.655158 40 46.7396 10.444119082479258 -1895.6551579758525 0 20.0
108 1.0 1895.3690556809306 -0.0 0 1895.369056 40 48.064054 10.54172767203514 -1895.3690556809306 0 20.0
109 1.0 1895.0829533860087 -0.0 0 1895.082953 40 49.451148 10.639336261591021 -1895.0829533860087 0 20.0
110 1.0 1894.7968510910869 -0.0 0 1894.796851 40 47.364302 10.736944851146902 -1894.7968510910869 0 20.0
111 1.0 1894.510748796165 -0.0 0 1894.510749 40 49.585273 10.834553440702782 -1894.510748796165 0 20.0
112 1.0 1894.2246465012431 -0.0 0 1894.224647 40 50.344276 10.932162030258663 -1894.2246465012431 0 20.0
113 1.0 1893.9385442063212 -0.0 0 1893.938544 40 48.047933 11.029770619814544 -1893.9385442063212 0 20.0
114 1.0 1893.6524419113994 -0.0 0 1893.652442 40 45.025726 11.127379209370424 -1893.6524419113994 0 20.0
115 1.0 1893.3663396164775 -0.0 0 1893.36634 40 47.750388 11.224987798926305 -1893.3663396164775 0 20.0
116 1.0 1893.0802373215556 -0.0 0 1893.080237 40 49.158502 11.322596388482186 -1893.0802373215556 0 20.0
117 1.0 1892.7941350266337 -0.0 0 1892.794135 40 50.026494 11.420204978038068 -1892.7941350266337 0 20.0
118 1.0 1892.5080327317119 -0.0 0 1892.508033 40 51.241987 11.517813567593949 -1892.5080327317119 0 20.0
119 1.0 1892.22193043679 -0.0 0 1892.22193 40 50.032133 11.61542215714983 -1892.22193043679 0 20.0
120 1.0 1891.9358281418681 -0.0 0 1891.935828 40 52.179564 11.71303074670571 -1891.9358281418681 0 20.0
121 1.0 1891.6497258469462 -0.0 0 1891.649726 40 49.069114 11.810639336261591 -1891.6497258469462 0 20.0
122 1.0 1891.3636235520244 -0.0 0 1891.363624 40 51.016615 11.908247925817472 -1891.3636235520244 0 20.0
123 1.0 1891.0775212571025 -0.0 0 1891.077521 40 47.759599 12.005856515373353 -1891.0775212571025 0 20.0
124 1.0 1890.7914189621806 -0.0 0 1890.791419 40 49.28498 12.103465104929235 -1890.7914189621806 0 20.0
125 1.0 1890.5053166672587 -0.0 0 1890.505317 40 48.951876 12.201073694485116 -1890.5053166672587 0 20.0
126 1.0 1890.2192143723369 -0.0 0 1890.219214 40 50.527536 12.298682284040996 -1890.2192143723369 0 20.0
127 1.0 1889.933112077415 -0.0 0 1889.933112 40 51.413891 12.396290873596877 -1889.933112077415 0 20.0
128 2.0 1889.6470097824931 -0.0 0 1889.648438 40 120931.780721 12.493899463152758 -1889.6470097824931 0 20.0
129 1.0 1889.3609074875712 -0.0 0 1889.360907 40 49.525599 12.591508052708638 -1889.3609074875712 0 20.0
130 1.0 1889.0748051926494 -0.0 0 1889.074805 40 50.687878 12.68911664226452 -1889.0748051926494 0 20.0
131 1.0 1888.7887028977275 -0.0 0 1888.788703 40 50.19435 12.7867252318204 -1888.7887028977275 0 20.0
132 1.0 1888.5026006028056 -0.009566 0 1888.502603 40 46.550003 12.88433382137628 -1888.5026006028056 0 20.0
133 1.0 1888.2164983078837 -0.0 0 1888.216498 40 46.886642 12.981942410932163 -1888.2164983078837 0 20.0
134 1.0 1887.9303960129619 -0.0 0 1887.930396 40 46.23661 13.079551000488044 -1887.9303960129619 0 20.0
135 1.0 1887.64429371804 -0.0 0 1887.644294 40 48.804671 13.177159590043924 -1887.64429371804 0 20.0
136 1.0 1887.3581914231181 -0.0 0 1887.358191 40 47.265204 13.274768179599805 -1887.3581914231181 0 20.0
137 1.0 1887.0720891281962 -0.0 0 1887.072089 40 46.29679 13.372376769155686 -1887.0720891281962 0 20.0
138 1.0 1886.7859868332744 -0.0 0 1886.785987 40 47.335398 13.469985358711567 -1886.7859868332744 0 20.0
139 1.0 1886.4998845383525 -0.0 0 1886.499885 40 47.696005 13.567593948267447 -1886.4998845383525 0 20.0
140 1.0 1886.2137822434306 -0.0 0 1886.213782 40 48.651701 13.66520253782333 -1886.2137822434306 0 20.0
141 1.0 1885.9276799485087 -0.0 0 1885.92768 40 47.029888 13.76281112737921 -1885.9276799485087 0 20.0
142 1.0 1885.6415776535869 0.019133 0 1885.641575 40 49.034283 13.860419716935091 -1885.6415776535869 0 20.0
143 1.0 1885.355475358665 -0.0 0 1885.355475 40 46.875455 13.958028306490972 -1885.355475358665 0 20.0
144 1.0 1885.0693730637431 0.009566 0 1885.069373 40 46.808756 14.055636896046853 -1885.0693730637431 0 20.0
145 1.0 1884.7832707688212 -0.0 0 1884.783271 40 48.384197 14.153245485602733 -1884.7832707688212 0 20.0
146 1.0 1884.4971684738994 -0.0 0 1884.497168 40 51.676834 14.250854075158614 -1884.4971684738994 0 20.0
147 1.0 1884.2110661789775 -0.0 0 1884.211066 40 49.009059 14.348462664714495 -1884.2110661789775 0 20.0
148 1.0 1883.9249638840556 -0.0 0 1883.924964 40 49.752526 14.446071254270375 -1883.9249638840556 0 20.0
149 1.0 1883.6388615891337 -0.0 0 1883.638862 40 48.885106 14.543679843826258 -1883.6388615891337 0 20.0
150 1.0 1883.3527592942119 -0.0 0 1883.352759 40 48.03583 14.641288433382138 -1883.3527592942119 0 20.0
151 1.0 1883.06665699929 -0.0 0 1883.066657 40 50.636106 14.73889702293802 -1883.06665699929 0 20.0
152 1.0 1882.7805547043681 -0.0 0 1882.780555 40 51.289006 14.8365056124939 -1882.7805547043681 0 20.0
153 1.0 1882.4944524094462 -0.0 0 1882.494452 40 50.947689 14.93411420204978 -1882.4944524094462 0 20.0
154 1.0 1882.2083501145244 -0.0 0 1882.20835 40 49.263432 15.031722791605661 -1882.2083501145244 0 20.0
155 1.0 1881.9222478196025 -0.0 0 1881.922248 40 47.285306 15.129331381161542 -1881.9222478196025 0 20.0
156 1.0 1881.6361455246806 0.009566 0 1881.636143 40 48.803919 15.226939970717424 -1881.6361455246806 0 20.0
157 1.0 1881.3500432297587 -0.0 0 1881.350043 40 49.619735 15.324548560273305 -1881.3500432297587 0 20.0
158 1.0 1881.0639409348369 -0.0 0 1881.063941 40 51.050726 15.422157149829186 -1881.0639409348369 0 20.0
159 1.0 1880.777838639915 -0.0 0 1880.777839 40 49.300407 15.519765739385067 -1880.777838639915 0 20.0
160 1.0 1880.4917363449931 -0.0 0 1880.491736 40 46.832127 15.617374328940947 -1880.4917363449931 0 20.0
161 1.0 1880.2056340500712 -0.0 0 1880.205634 40 46.691864 15.714982918496828 -1880.2056340500712 0 20.0
162 1.0 1879.9195317551494 -0.0 0 1879.919532 40 50.162857 15.812591508052709 -1879.9195317551494 0 20.0
163 1.0 1879.6334294602275 -0.0 0 1879.633429 40 47.091629 15.91020009760859 -1879.6334294602275 0 20.0
164 1.0 1879.3473271653056 -0.0 0 1879.347327 40 49.996665 16.00780868716447 -1879.3473271653056 0 20.0
165 1.0 1879.0612248703837 -0.0 0 1879.061225 40 47.618426 16.105417276720353 -1879.0612248703837 0 20.0
166 1.0 1878.7751225754619 -0.0 0 1878.775123 40 50.242546 16.20302586627623 -1878.7751225754619 0 20.0
167 1.0 1878.48902028054 -0.0 0 1878.48902 40 49.543558 16.300634455832114 -1878.48902028054 0 20.0
168 1.0 1878.2029179856181 -0.0 0 1878.202918 40 48.35804 16.398243045387993 -1878.2029179856181 0 20.0
169 1.0 1877.9168156906962 -0.009566 0 1877.916818 40 48.088376 16.495851634943875 -1877.9168156906962 0 20.0
170 1.0 1877.6307133957744 -0.009566 0 1877.630713 40 48.418715 16.593460224499758 -1877.6307133957744 0 20.0
171 1.0 1877.3446111008525 -0.0 0 1877.344611 40 49.862773 16.691068814055637 -1877.3446111008525 0 20.0
172 1.0 1877.0585088059306 -0.0 0 1877.058509 40 51.105942 16.78867740361152 -1877.0585088059306 0 20.0
173 1.0 1876.7724065110087 -0.0 0 1876.772407 40 45.723227 16.886285993167398 -1876.7724065110087 0 20.0
174 1.0 1876.4863042160869 -0.0 0 1876.486304 40 50.018544 16.98389458272328 -1876.4863042160869 0 20.0
175 1.0 1876.200201921165 -0.0 0 1876.200202 40 50.54355 17.08150317227916 -1876.200201921165 0 20.0
176 1.0 1875.9140996262431 -0.0 0 1875.9141 40 50.605645 17.179111761835042 -1875.9140996262431 0 20.0
177 1.0 1875.6279973313212 0.009566 0 1875.627995 40 50.983606 17.276720351390924 -1875.6279973313212 0 20.0
178 1.0 1875.3418950363994 -0.0 0 1875.341895 40 48.427508 17.374328940946803 -1875.3418950363994 0 20.0
179 1.0 1875.0557927414775 -0.0 0 1875.055793 40 49.127607 17.471937530502686 -1875.0557927414775 0 20.0
180 1.0 1874.7696904465556 -0.0 0 1874.76969 40 45.990252 17.569546120058565 -1874.7696904465556 0 20.0
181 1.0 1874.4835881516337 -0.019133 0 1874.483591 40 48.804437 17.667154709614447 -1874.4835881516337 0 20.0
182 1.0 1874.1974858567119 -0.0 0 1874.197486 40 50.434125 17.764763299170326 -1874.1974858567119 0 20.0
183 1.0 1873.91138356179 -0.0 0 1873.911384 40 51.467514 17.86237188872621 -1873.91138356179 0 20.0
184 1.0 1873.6252812668681 -0.0 0 1873.625281 40 48.928726 17.95998047828209 -1873.6252812668681 0 20.0
185 1.0 1873.3391789719462 -0.0 0 1873.339179 40 48.994479 18.05758906783797 -1873.3391789719462 0 20.0
186 1.0 1873.0530766770244 -0.0 0 1873.053074 40 47.838383 18.155197657393852 -1873.0530766770244 0 20.0
187 1.0 1872.7669743821025 -0.0 0 1872.766974 40 47.351086 18.25280624694973 -1872.7669743821025 0 20.0
188 1.0 1872.4808720871806 -0.0 0 1872.480872 40 50.435592 18.350414836505614 -1872.4808720871806 0 20.0
189 1.0 1872.1947697922587 0.009566 0 1872.194767 40 49.004286 18.448023426061493 -1872.1947697922587 0 20.0
190 1.0 1871.9086674973369 -0.009566 0 1871.90867 40 47.644648 18.545632015617375 -1871.9086674973369 0 20.0
191 1.0 1871.622565202415 0.009566 0 1871.622562 40 48.004202 18.643240605173254 -1871.622565202415 0 20.0
192 1.0 1871.3364629074931 -0.019133 0 1871.336466 40 50.125808 18.740849194729137 -1871.3364629074931 0 20.0
193 1.0 1871.0503606125712 -0.0 0 1871.050361 40 49.818293 18.83845778428502 -1871.0503606125712 0 20.0
194 1.0 1870.7642583176494 -0.0 0 1870.764261 40 49.47441 18.936066373840898 -1870.7642583176494 0 20.0
195 1.0 1870.4781560227275 -0.0 0 1870.478156 40 46.423214 19.03367496339678 -1870.4781560227275 0 20.0
196 1.0 1870.1920537278056 -0.0 0 1870.192054 40 48.678256 19.13128355295266 -1870.1920537278056 0 20.0
197 1.0 1869.9059514328837 -0.0 0 1869.905951 40 47.888519 19.228892142508542 -1869.9059514328837 0 20.0
198 1.0 1869.6198491379619 -0.0 0 1869.619849 40 48.616491 19.32650073206442 -1869.6198491379619 0 20.0
199 1.0 1869.33374684304 -0.0 0 1869.333747 40 49.132502 19.424109321620303 -1869.33374684304 0 20.0
200 1.0 1869.0476445481181 -0.0 0 1869.047645 40 46.84942 19.521717911176182 -1869.0476445481181 0 20.0
201 1.0 1868.7615422531962 -0.0 0 1868.761542 40 51.221538 19.619326500732065 -1868.7615422531962 0 20.0
202 1.0 1868.4754399582744 -0.0 0 1868.47544 40 49.019196 19.716935090287947 -1868.4754399582744 0 20.0
203 1.0 1868.1893376633525 0.009566 0 1868.189338 40 49.029667 19.814543679843826 -1868.1893376633525 0 20.0
204 1.0 1867.9032353684306 -0.0 0 1867.903235 40 50.87704 19.91215226939971 -1867.9032353684306 0 20.0
205 1.0 1867.6171330735087 -0.009566 0 1867.617133 40 49.310729 20.009760858955588 -1867.6171330735087 0 20.0
206 1.0 1867.3310307785869 -0.0 0 1867.331031 40 52.612066 20.10736944851147 -1867.3310307785869 0 20.0
207 1.0 1867.044928483665 -0.009566 0 1867.044931 40 48.634215 20.20497803806735 -1867.044928483665 0 20.0
208 1.0 1866.7588261887431 0.009566 0 1866.758826 40 49.871979 20.30258662762323 -1866.7588261887431 0 20.0
209 1.0 1866.4727238938212 0.019133 0 1866.472721 40 45.748901 20.400195217179114 -1866.4727238938212 0 20.0
210 1.0 1866.1866215988994 -0.0 0 1866.186622 40 51.701625 20.497803806734993 -1866.1866215988994 0 20.0
211 1.0 1865.9005193039775 -0.0 0 1865.900519 40 51.222231 20.595412396290875 -1865.9005193039775 0 20.0
212 1.0 1865.6144170090556 -0.0 0 1865.614417 40 48.392804 20.693020985846754 -1865.6144170090556 0 20.0
213 1.0 1865.3283147141337 -0.0 0 1865.328315 40 48.918334 20.790629575402637 -1865.3283147141337 0 20.0
214 1.0 1865.0422124192119 -0.0 0 1865.042212 40 47.943038 20.888238164958516 -1865.0422124192119 0 20.0
